time,open,high,low,close,ema20,ema50,ema100,ema200,Volume,Volume MA
2023-06-05T02:25:00+02:00,27139.96,27144.44,27139.96,27144.44,27138.490353042267,27165.79105733469,27208.140043631265,27244.592568028333,0.01296,0.29105299999999285
2023-06-05T02:26:00+02:00,27151.2,27166.73,27149.84,27166.46,27141.154128943002,27165.817290380386,27207.314696232625,27243.81512954049,0.36735,0.30769899999999284
2023-06-05T02:27:00+02:00,27162.98,27162.98,27154.03,27155.69,27142.538497615096,27165.420141738017,27206.292425020096,27242.938262579886,0.22399,0.3167269999999928
2023-06-05T02:28:00+02:00,27143.09,27163.54,27143.09,27163.54,27144.53864069937,27165.346410689468,27205.44584234643,27242.148230116403,0.02952,0.3057074999999928
2023-06-05T02:29:00+02:00,27160.69,27173.14,27160.69,27173.14,27147.262579680384,27165.65204164282,27204.806122696005,27241.461581060517,0.19545,0.30662449999999286
2023-06-05T02:30:00+02:00,27176.44,27176.44,27165.41,27165.41,27148.99090542511,27165.642549813692,27204.026001454502,27240.70484891066,0.37357,0.32299049999999285
2023-06-05T02:31:00+02:00,27163.24,27163.24,27149.52,27149.52,27149.041295384624,27165.010292958254,27202.946674693027,27239.7975369812,0.08549,0.32671799999999285
2023-06-05T02:32:00+02:00,27149.34,27163.07,27149.34,27163.07,27150.37736249085,27164.934203038323,27202.157037570392,27239.034078901786,0.02004,0.21476749999999284
2023-06-05T02:33:00+02:00,27165.47,27174.77,27165.47,27174.77,27152.700470825053,27165.31992056623,27201.61471999474,27238.394635330624,0.00759,0.19594299999999285
2023-06-05T02:34:00+02:00,27171.43,27176.71,27168.9,27168.9,27154.24328312743,27165.460315838143,27200.96690375722,27237.70314642186,0.04117,0.13835849999999286
2023-06-05T02:35:00+02:00,27164.35,27164.35,27159.75,27159.99,27154.790589496246,27165.245793648413,27200.155479920442,27236.929881283333,0.26906,0.14963799999999286
2023-06-05T02:36:00+02:00,27170.06,27170.06,27158.86,27158.86,27155.178152401364,27164.995370368084,27199.33774764479,27236.153066544197,0.01554,0.14629399999999287
2023-06-05T02:37:00+02:00,27161.19,27161.82,27154.33,27154.33,27155.097375982186,27164.57712054973,27198.44650511717,27235.338906678084,0.11182,0.14133199999999285
2023-06-05T02:38:00+02:00,27151.32,27151.32,27149.42,27149.42,27154.556673507694,27163.982723665427,27197.47568323366,27234.483992183774,0.02409,0.14194449999999287
2023-06-05T02:39:00+02:00,27151.32,27151.51,27151.32,27151.49,27154.264609364105,27163.49281293345,27196.565075644874,27233.658181316274,0.00527,0.14202549999999287
2023-06-05T02:40:00+02:00,27143.39,27151.3,27143.39,27143.68,27153.25655132943,27162.715839877237,27195.517846424184,27232.762876029545,0.06269,0.14494049999999287
2023-06-05T02:41:00+02:00,27140.94,27146.51,27138.07,27138.72,27151.872117869483,27161.774826548717,27194.393136594,27231.8271260193,0.09432,0.1165639999999929
2023-06-05T02:42:00+02:00,27136.55,27139.88,27128.91,27128.91,27149.685249500963,27160.486009821318,27193.096440819863,27230.803075014133,0.04,0.10855599999999291
2023-06-05T02:43:00+02:00,27128.36,27140.66,27121.67,27140.66,27148.825701929443,27159.70851924009,27192.058095457094,27229.90612899409,0.1384,0.10896699999999289
2023-06-05T02:44:00+02:00,27129.2,27143.86,27129.2,27143.86,27148.352777936165,27159.087008681654,27191.10367772527,27229.04994860609,0.0043,0.1061309999999929
2023-06-05T02:45:00+02:00,27144.45,27144.45,27113.86,27123.07,27145.9448943232,27157.67457696865,27189.756476186158,27227.995421754287,0.21944,0.1164549999999929
