time,open,high,low,close,Volume,Volume MA
2023-06-02T23:55:00+02:00,27287.91,27288.99,27287.01,27288.99,0.16661,0.2678324999999933
2023-06-02T23:56:00+02:00,27288.97,27289.36,27284.24,27284.24,0.1935,0.2761964999999933
2023-06-02T23:57:00+02:00,27284.25,27284.25,27269.43,27269.66,0.3743,0.28054649999999326
2023-06-02T23:58:00+02:00,27269.65,27270.15,27269.27,27269.56,0.03643,0.26067049999999325
2023-06-02T23:59:00+02:00,27268.07,27269.48,27262.83,27262.83,0.09907,0.2602689999999933
2023-06-03T00:00:00+02:00,27262.84,27262.84,27254.29,27254.67,0.11339,0.26229399999999325
2023-06-03T00:01:00+02:00,27254.67,27275.53,27254.67,27273.33,0.28529,0.2726844999999932
2023-06-03T00:02:00+02:00,27273.24,27290.65,27273.24,27279.59,0.45172,0.29267749999999326
2023-06-03T00:03:00+02:00,27279.59,27282.83,27274.57,27275.14,0.07661,0.2862574999999933
2023-06-03T00:04:00+02:00,27273.76,27283.73,27273.65,27283.73,0.04728,0.26990299999999323
2023-06-03T00:05:00+02:00,27283.17,27290.57,27272.74,27272.75,0.09437,0.25852149999999324
2023-06-03T00:06:00+02:00,27287.76,27291.01,27287.76,27289.9,0.20242,0.20097799999999322
2023-06-03T00:07:00+02:00,27287.6,27287.6,27279.65,27281.33,0.06145,0.1875544999999932
2023-06-03T00:08:00+02:00,27281.34,27289.45,27281.34,27285.77,0.18692,0.18671249999999323
2023-06-03T00:09:00+02:00,27288.16,27288.16,27286.61,27286.61,0.03056,0.1828869999999932
2023-06-03T00:10:00+02:00,27288.37,27295.48,27288.37,27294.32,0.5617,0.20215949999999322
2023-06-03T00:11:00+02:00,27294.3,27294.32,27292.87,27292.87,0.02068,0.17479599999999323
2023-06-03T00:12:00+02:00,27293.22,27293.22,27281.91,27282.21,0.30351,0.18733749999999322
2023-06-03T00:13:00+02:00,27281.98,27283.97,27278.53,27281.98,0.06599,0.17788999999999322
2023-06-03T00:14:00+02:00,27281.7,27283.86,27280.6,27283.03,0.17556,0.17736799999999323
2023-06-03T00:15:00+02:00,27287.98,27290.43,27286.67,27288.01,0.19297,0.1786859999999932
2023-06-03T00:16:00+02:00,27288.19,27292.53,27288.18,27291.37,0.02327,0.17017449999999323
2023-06-03T00:17:00+02:00,27291.38,27295.66,27291.38,27295.65,0.05311,0.15411499999999326
2023-06-03T00:18:00+02:00,27295.66,27296.53,27285.34,27285.34,0.74986,0.18978649999999325
2023-06-03T00:19:00+02:00,27285.33,27286.04,27281.15,27286.04,0.11777,0.19072149999999324
2023-06-03T00:20:00+02:00,27286.41,27287.37,27279.02,27279.76,0.07911,0.18900749999999325
2023-06-03T00:21:00+02:00,27279.74,27293.46,27279.74,27288.46,0.04632,0.17705899999999325
2023-06-03T00:22:00+02:00,27284.98,27285.56,27284.98,27285.56,0.02518,0.15573199999999326
2023-06-03T00:23:00+02:00,27285.56,27297.58,27285.56,27292.8,0.87787,0.19579499999999328
2023-06-03T00:24:00+02:00,27292.83,27292.9,27290.77,27290.77,0.02466,0.19466399999999326
2023-06-03T00:25:00+02:00,27290.23,27290.23,27285.59,27289.3,0.01662,0.19077649999999327
2023-06-03T00:26:00+02:00,27289.3,27292.83,27289.3,27292.71,0.00903,0.18110699999999327
2023-06-03T00:27:00+02:00,27296,27296,27294.13,27294.13,0.09294,0.18268149999999328
2023-06-03T00:28:00+02:00,27293.63,27293.63,27288.02,27293.36,0.1085,0.17876049999999327
2023-06-03T00:29:00+02:00,27293.36,27293.36,27293.35,27293.35,0.05988,0.18022649999999327
2023-06-03T00:30:00+02:00,27293.2,27299,27293.2,27298.99,0.02117,0.15319999999999329
2023-06-03T00:31:00+02:00,27298.99,27299,27294.56,27295.01,0.30303,0.1673174999999933
2023-06-03T00:32:00+02:00,27287.74,27299.57,27287.74,27298.49,0.11888,0.15808599999999326
2023-06-03T00:33:00+02:00,27299.46,27300.28,27296.88,27297.43,0.10128,0.1598504999999933
2023-06-03T00:34:00+02:00,27297.42,27300.3,27297.42,27300.3,0.21236,0.16169049999999327
2023-06-03T00:35:00+02:00,27300.3,27300.3,27300.29,27300.29,0.01484,0.1527839999999933
2023-06-03T00:36:00+02:00,27300.3,27315.04,27300.3,27315.04,0.5228,0.17776049999999327
2023-06-03T00:37:00+02:00,27316.25,27329.2,27316.25,27329.05,0.24227,0.18721849999999327
2023-06-03T00:38:00+02:00,27329.2,27338.54,27329.2,27338.54,0.61122,0.18028649999999327
2023-06-03T00:39:00+02:00,27332.18,27343.8,27327.81,27343.8,1.04498,0.22664699999999324
